,Bus,Hour,Slot,LMP
"('Bus1', 14, 1)",Bus1,14,1,102.266666666667
"('Bus2', 14, 1)",Bus2,14,1,102.266666666667
"('Bus5', 14, 1)",Bus5,14,1,102.266666666667
"('Bus4', 14, 1)",Bus4,14,1,102.266666666667
"('Bus3', 14, 1)",Bus3,14,1,102.266666666667
"('Bus1', 14, 2)",Bus1,14,2,102.266666666667
"('Bus2', 14, 2)",Bus2,14,2,102.266666666667
"('Bus5', 14, 2)",Bus5,14,2,102.266666666667
"('Bus4', 14, 2)",Bus4,14,2,102.266666666667
"('Bus3', 14, 2)",Bus3,14,2,102.266666666667
"('Bus1', 14, 3)",Bus1,14,3,102.266666666667
"('Bus2', 14, 3)",Bus2,14,3,102.266666666667
"('Bus5', 14, 3)",Bus5,14,3,102.266666666667
"('Bus4', 14, 3)",Bus4,14,3,102.266666666667
"('Bus3', 14, 3)",Bus3,14,3,102.266666666667
"('Bus1', 14, 4)",Bus1,14,4,102.266666666667
"('Bus2', 14, 4)",Bus2,14,4,102.266666666667
"('Bus5', 14, 4)",Bus5,14,4,102.266666666667
"('Bus4', 14, 4)",Bus4,14,4,102.266666666667
"('Bus3', 14, 4)",Bus3,14,4,102.266666666667
"('Bus1', 14, 5)",Bus1,14,5,102.266666666667
"('Bus2', 14, 5)",Bus2,14,5,102.266666666667
"('Bus5', 14, 5)",Bus5,14,5,102.266666666667
"('Bus4', 14, 5)",Bus4,14,5,102.266666666667
"('Bus3', 14, 5)",Bus3,14,5,102.266666666667
"('Bus1', 14, 6)",Bus1,14,6,102.266666666667
"('Bus2', 14, 6)",Bus2,14,6,102.266666666667
"('Bus5', 14, 6)",Bus5,14,6,102.266666666667
"('Bus4', 14, 6)",Bus4,14,6,102.266666666667
"('Bus3', 14, 6)",Bus3,14,6,102.266666666667
