,Bus,Hour,Slot,LMP
"('Bus1', 4, 1)",Bus1,4,1,65.0
"('Bus2', 4, 1)",Bus2,4,1,65.0
"('Bus5', 4, 1)",Bus5,4,1,65.0
"('Bus4', 4, 1)",Bus4,4,1,65.0
"('Bus3', 4, 1)",Bus3,4,1,65.0
"('Bus1', 4, 2)",Bus1,4,2,65.0
"('Bus2', 4, 2)",Bus2,4,2,65.0
"('Bus5', 4, 2)",Bus5,4,2,65.0
"('Bus4', 4, 2)",Bus4,4,2,65.0
"('Bus3', 4, 2)",Bus3,4,2,65.0
"('Bus1', 4, 3)",Bus1,4,3,65.0
"('Bus2', 4, 3)",Bus2,4,3,65.0
"('Bus5', 4, 3)",Bus5,4,3,65.0
"('Bus4', 4, 3)",Bus4,4,3,65.0
"('Bus3', 4, 3)",Bus3,4,3,65.0
"('Bus1', 4, 4)",Bus1,4,4,65.0
"('Bus2', 4, 4)",Bus2,4,4,65.0
"('Bus5', 4, 4)",Bus5,4,4,65.0
"('Bus4', 4, 4)",Bus4,4,4,65.0
"('Bus3', 4, 4)",Bus3,4,4,65.0
"('Bus1', 4, 5)",Bus1,4,5,65.0
"('Bus2', 4, 5)",Bus2,4,5,65.0
"('Bus5', 4, 5)",Bus5,4,5,65.0
"('Bus4', 4, 5)",Bus4,4,5,65.0
"('Bus3', 4, 5)",Bus3,4,5,65.0
"('Bus1', 4, 6)",Bus1,4,6,65.0
"('Bus2', 4, 6)",Bus2,4,6,65.0
"('Bus5', 4, 6)",Bus5,4,6,65.0
"('Bus4', 4, 6)",Bus4,4,6,65.0
"('Bus3', 4, 6)",Bus3,4,6,65.0
