,Bus,Hour,Slot,LMP
"('Bus1', 4, 1)",Bus1,4,1,65.0
"('Bus2', 4, 2)",Bus2,4,2,65.0
"('Bus4', 4, 2)",Bus4,4,2,65.0
"('Bus5', 4, 2)",Bus5,4,2,65.0
"('Bus3', 4, 2)",Bus3,4,2,65.0
"('Bus1', 4, 2)",Bus1,4,2,65.0
"('Bus2', 4, 3)",Bus2,4,3,65.0
"('Bus4', 4, 3)",Bus4,4,3,65.0
"('Bus5', 4, 3)",Bus5,4,3,65.0
"('Bus3', 4, 3)",Bus3,4,3,65.0
"('Bus1', 4, 3)",Bus1,4,3,65.0
"('Bus2', 4, 4)",Bus2,4,4,65.0
"('Bus4', 4, 4)",Bus4,4,4,65.0
"('Bus5', 4, 4)",Bus5,4,4,65.0
"('Bus3', 4, 4)",Bus3,4,4,65.0
"('Bus1', 4, 4)",Bus1,4,4,65.0
"('Bus2', 4, 5)",Bus2,4,5,65.0
"('Bus4', 4, 5)",Bus4,4,5,65.0
"('Bus5', 4, 5)",Bus5,4,5,65.0
"('Bus3', 4, 5)",Bus3,4,5,65.0
"('Bus1', 4, 5)",Bus1,4,5,65.0
"('Bus2', 4, 6)",Bus2,4,6,65.0
"('Bus4', 4, 6)",Bus4,4,6,65.0
"('Bus5', 4, 6)",Bus5,4,6,65.0
"('Bus3', 4, 6)",Bus3,4,6,65.0
"('Bus1', 4, 6)",Bus1,4,6,65.0
"('Bus2', 5, 1)",Bus2,5,1,65.0
"('Bus4', 5, 1)",Bus4,5,1,65.0
"('Bus5', 5, 1)",Bus5,5,1,65.0
"('Bus3', 5, 1)",Bus3,5,1,65.0
"('Bus1', 5, 1)",Bus1,5,1,65.0
"('Bus2', 5, 2)",Bus2,5,2,65.0
"('Bus4', 5, 2)",Bus4,5,2,65.0
"('Bus5', 5, 2)",Bus5,5,2,65.0
"('Bus3', 5, 2)",Bus3,5,2,65.0
"('Bus1', 5, 2)",Bus1,5,2,65.0
"('Bus2', 5, 3)",Bus2,5,3,65.0
"('Bus4', 5, 3)",Bus4,5,3,65.0
"('Bus5', 5, 3)",Bus5,5,3,65.0
"('Bus3', 5, 3)",Bus3,5,3,65.0
"('Bus1', 5, 3)",Bus1,5,3,65.0
"('Bus2', 5, 4)",Bus2,5,4,65.0
"('Bus4', 5, 4)",Bus4,5,4,65.0
"('Bus5', 5, 4)",Bus5,5,4,65.0
"('Bus3', 5, 4)",Bus3,5,4,65.0
"('Bus1', 5, 4)",Bus1,5,4,65.0
"('Bus2', 5, 5)",Bus2,5,5,65.0
"('Bus4', 5, 5)",Bus4,5,5,65.0
"('Bus5', 5, 5)",Bus5,5,5,65.0
"('Bus3', 5, 5)",Bus3,5,5,65.0
"('Bus1', 5, 5)",Bus1,5,5,65.0
"('Bus2', 5, 6)",Bus2,5,6,65.0
"('Bus4', 5, 6)",Bus4,5,6,65.0
"('Bus5', 5, 6)",Bus5,5,6,65.0
"('Bus3', 5, 6)",Bus3,5,6,65.0
"('Bus1', 5, 6)",Bus1,5,6,65.0
"('Bus2', 6, 1)",Bus2,6,1,65.0
"('Bus4', 6, 1)",Bus4,6,1,65.0
"('Bus5', 6, 1)",Bus5,6,1,65.0
"('Bus3', 6, 1)",Bus3,6,1,65.0
"('Bus1', 6, 1)",Bus1,6,1,65.0
"('Bus2', 6, 2)",Bus2,6,2,65.0
"('Bus4', 6, 2)",Bus4,6,2,65.0
"('Bus5', 6, 2)",Bus5,6,2,65.0
"('Bus3', 6, 2)",Bus3,6,2,65.0
"('Bus1', 6, 2)",Bus1,6,2,65.0
"('Bus2', 6, 3)",Bus2,6,3,65.0
"('Bus4', 6, 3)",Bus4,6,3,65.0
"('Bus5', 6, 3)",Bus5,6,3,65.0
"('Bus3', 6, 3)",Bus3,6,3,65.0
"('Bus1', 6, 3)",Bus1,6,3,65.0
"('Bus2', 6, 4)",Bus2,6,4,65.0
"('Bus4', 6, 4)",Bus4,6,4,65.0
"('Bus5', 6, 4)",Bus5,6,4,65.0
"('Bus3', 6, 4)",Bus3,6,4,65.0
"('Bus1', 6, 4)",Bus1,6,4,65.0
"('Bus2', 6, 5)",Bus2,6,5,65.0
"('Bus4', 6, 5)",Bus4,6,5,65.0
"('Bus5', 6, 5)",Bus5,6,5,65.0
"('Bus3', 6, 5)",Bus3,6,5,65.0
"('Bus1', 6, 5)",Bus1,6,5,65.0
"('Bus2', 6, 6)",Bus2,6,6,65.0
"('Bus4', 6, 6)",Bus4,6,6,65.0
"('Bus5', 6, 6)",Bus5,6,6,65.0
"('Bus3', 6, 6)",Bus3,6,6,65.0
"('Bus1', 6, 6)",Bus1,6,6,65.0
"('Bus2', 7, 1)",Bus2,7,1,65.0
"('Bus4', 7, 1)",Bus4,7,1,65.0
"('Bus5', 7, 1)",Bus5,7,1,65.0
"('Bus3', 7, 1)",Bus3,7,1,65.0
"('Bus1', 7, 1)",Bus1,7,1,65.0
"('Bus2', 7, 2)",Bus2,7,2,65.0
"('Bus4', 7, 2)",Bus4,7,2,65.0
"('Bus5', 7, 2)",Bus5,7,2,65.0
"('Bus3', 7, 2)",Bus3,7,2,65.0
"('Bus1', 7, 2)",Bus1,7,2,65.0
"('Bus2', 7, 3)",Bus2,7,3,65.0
"('Bus4', 7, 3)",Bus4,7,3,65.0
"('Bus5', 7, 3)",Bus5,7,3,65.0
"('Bus3', 7, 3)",Bus3,7,3,65.0
"('Bus1', 7, 3)",Bus1,7,3,65.0
"('Bus2', 7, 4)",Bus2,7,4,65.0
"('Bus4', 7, 4)",Bus4,7,4,65.0
"('Bus5', 7, 4)",Bus5,7,4,65.0
"('Bus3', 7, 4)",Bus3,7,4,65.0
"('Bus1', 7, 4)",Bus1,7,4,65.0
"('Bus2', 7, 5)",Bus2,7,5,65.0
"('Bus4', 7, 5)",Bus4,7,5,65.0
"('Bus5', 7, 5)",Bus5,7,5,65.0
"('Bus3', 7, 5)",Bus3,7,5,65.0
"('Bus1', 7, 5)",Bus1,7,5,65.0
"('Bus2', 7, 6)",Bus2,7,6,65.0
"('Bus4', 7, 6)",Bus4,7,6,65.0
"('Bus5', 7, 6)",Bus5,7,6,65.0
"('Bus3', 7, 6)",Bus3,7,6,65.0
"('Bus1', 7, 6)",Bus1,7,6,65.0
"('Bus2', 8, 1)",Bus2,8,1,102.266666666667
"('Bus4', 8, 1)",Bus4,8,1,102.266666666667
"('Bus5', 8, 1)",Bus5,8,1,102.266666666667
"('Bus3', 8, 1)",Bus3,8,1,102.266666666667
"('Bus1', 8, 1)",Bus1,8,1,102.266666666667
"('Bus2', 8, 2)",Bus2,8,2,102.266666666667
"('Bus4', 8, 2)",Bus4,8,2,102.266666666667
"('Bus5', 8, 2)",Bus5,8,2,102.266666666667
"('Bus3', 8, 2)",Bus3,8,2,102.266666666667
"('Bus1', 8, 2)",Bus1,8,2,102.266666666667
"('Bus2', 8, 3)",Bus2,8,3,102.266666666667
"('Bus4', 8, 3)",Bus4,8,3,102.266666666667
"('Bus5', 8, 3)",Bus5,8,3,102.266666666667
"('Bus3', 8, 3)",Bus3,8,3,102.266666666667
"('Bus1', 8, 3)",Bus1,8,3,102.266666666667
"('Bus2', 8, 4)",Bus2,8,4,102.266666666667
"('Bus4', 8, 4)",Bus4,8,4,102.266666666667
"('Bus5', 8, 4)",Bus5,8,4,102.266666666667
"('Bus3', 8, 4)",Bus3,8,4,102.266666666667
"('Bus1', 8, 4)",Bus1,8,4,102.266666666667
"('Bus2', 8, 5)",Bus2,8,5,102.266666666667
"('Bus4', 8, 5)",Bus4,8,5,102.266666666667
"('Bus5', 8, 5)",Bus5,8,5,102.266666666667
"('Bus3', 8, 5)",Bus3,8,5,102.266666666667
"('Bus1', 8, 5)",Bus1,8,5,102.266666666667
"('Bus2', 8, 6)",Bus2,8,6,102.266666666667
"('Bus4', 8, 6)",Bus4,8,6,102.266666666667
"('Bus5', 8, 6)",Bus5,8,6,102.266666666667
"('Bus3', 8, 6)",Bus3,8,6,102.266666666667
"('Bus1', 8, 6)",Bus1,8,6,102.266666666667
"('Bus2', 9, 1)",Bus2,9,1,102.266666666667
"('Bus4', 9, 1)",Bus4,9,1,102.266666666667
"('Bus5', 9, 1)",Bus5,9,1,102.266666666667
"('Bus3', 9, 1)",Bus3,9,1,102.266666666667
"('Bus1', 9, 1)",Bus1,9,1,102.266666666667
"('Bus2', 9, 2)",Bus2,9,2,102.266666666667
"('Bus4', 9, 2)",Bus4,9,2,102.266666666667
"('Bus5', 9, 2)",Bus5,9,2,102.266666666667
"('Bus3', 9, 2)",Bus3,9,2,102.266666666667
"('Bus1', 9, 2)",Bus1,9,2,102.266666666667
"('Bus2', 9, 3)",Bus2,9,3,102.266666666667
"('Bus4', 9, 3)",Bus4,9,3,102.266666666667
"('Bus5', 9, 3)",Bus5,9,3,102.266666666667
"('Bus3', 9, 3)",Bus3,9,3,102.266666666667
"('Bus1', 9, 3)",Bus1,9,3,102.266666666667
"('Bus2', 9, 4)",Bus2,9,4,102.266666666667
"('Bus4', 9, 4)",Bus4,9,4,102.266666666667
"('Bus5', 9, 4)",Bus5,9,4,102.266666666667
"('Bus3', 9, 4)",Bus3,9,4,102.266666666667
"('Bus1', 9, 4)",Bus1,9,4,102.266666666667
"('Bus2', 9, 5)",Bus2,9,5,102.266666666667
"('Bus4', 9, 5)",Bus4,9,5,102.266666666667
"('Bus5', 9, 5)",Bus5,9,5,102.266666666667
"('Bus3', 9, 5)",Bus3,9,5,102.266666666667
"('Bus1', 9, 5)",Bus1,9,5,102.266666666667
"('Bus2', 9, 6)",Bus2,9,6,102.266666666667
"('Bus4', 9, 6)",Bus4,9,6,102.266666666667
"('Bus5', 9, 6)",Bus5,9,6,102.266666666667
"('Bus3', 9, 6)",Bus3,9,6,102.266666666667
"('Bus1', 9, 6)",Bus1,9,6,102.266666666667
"('Bus2', 10, 1)",Bus2,10,1,102.266666666667
"('Bus4', 10, 1)",Bus4,10,1,102.266666666667
"('Bus5', 10, 1)",Bus5,10,1,102.266666666667
"('Bus3', 10, 1)",Bus3,10,1,102.266666666667
"('Bus1', 10, 1)",Bus1,10,1,102.266666666667
"('Bus2', 10, 2)",Bus2,10,2,102.266666666667
"('Bus4', 10, 2)",Bus4,10,2,102.266666666667
"('Bus5', 10, 2)",Bus5,10,2,102.266666666667
"('Bus3', 10, 2)",Bus3,10,2,102.266666666667
"('Bus1', 10, 2)",Bus1,10,2,102.266666666667
"('Bus2', 10, 3)",Bus2,10,3,102.266666666667
"('Bus4', 10, 3)",Bus4,10,3,102.266666666667
"('Bus5', 10, 3)",Bus5,10,3,102.266666666667
"('Bus3', 10, 3)",Bus3,10,3,102.266666666667
"('Bus1', 10, 3)",Bus1,10,3,102.266666666667
"('Bus2', 10, 4)",Bus2,10,4,102.266666666667
"('Bus4', 10, 4)",Bus4,10,4,102.266666666667
"('Bus5', 10, 4)",Bus5,10,4,102.266666666667
"('Bus3', 10, 4)",Bus3,10,4,102.266666666667
"('Bus1', 10, 4)",Bus1,10,4,102.266666666667
"('Bus2', 10, 5)",Bus2,10,5,102.266666666667
"('Bus4', 10, 5)",Bus4,10,5,102.266666666667
"('Bus5', 10, 5)",Bus5,10,5,102.266666666667
"('Bus3', 10, 5)",Bus3,10,5,102.266666666667
"('Bus1', 10, 5)",Bus1,10,5,102.266666666667
"('Bus2', 10, 6)",Bus2,10,6,102.266666666667
"('Bus4', 10, 6)",Bus4,10,6,102.266666666667
"('Bus5', 10, 6)",Bus5,10,6,102.266666666667
"('Bus3', 10, 6)",Bus3,10,6,102.266666666667
"('Bus1', 10, 6)",Bus1,10,6,102.266666666667
"('Bus2', 11, 1)",Bus2,11,1,102.266666666667
"('Bus4', 11, 1)",Bus4,11,1,102.266666666667
"('Bus5', 11, 1)",Bus5,11,1,102.266666666667
"('Bus3', 11, 1)",Bus3,11,1,102.266666666667
"('Bus1', 11, 1)",Bus1,11,1,102.266666666667
"('Bus2', 11, 2)",Bus2,11,2,102.266666666667
"('Bus4', 11, 2)",Bus4,11,2,102.266666666667
"('Bus5', 11, 2)",Bus5,11,2,102.266666666667
"('Bus3', 11, 2)",Bus3,11,2,102.266666666667
"('Bus1', 11, 2)",Bus1,11,2,102.266666666667
"('Bus2', 11, 3)",Bus2,11,3,102.266666666667
"('Bus4', 11, 3)",Bus4,11,3,102.266666666667
"('Bus5', 11, 3)",Bus5,11,3,102.266666666667
"('Bus3', 11, 3)",Bus3,11,3,102.266666666667
"('Bus1', 11, 3)",Bus1,11,3,102.266666666667
"('Bus2', 11, 4)",Bus2,11,4,102.266666666667
"('Bus4', 11, 4)",Bus4,11,4,102.266666666667
"('Bus5', 11, 4)",Bus5,11,4,102.266666666667
"('Bus3', 11, 4)",Bus3,11,4,102.266666666667
"('Bus1', 11, 4)",Bus1,11,4,102.266666666667
"('Bus2', 11, 5)",Bus2,11,5,102.266666666667
"('Bus4', 11, 5)",Bus4,11,5,102.266666666667
"('Bus5', 11, 5)",Bus5,11,5,102.266666666667
"('Bus3', 11, 5)",Bus3,11,5,102.266666666667
"('Bus1', 11, 5)",Bus1,11,5,102.266666666667
"('Bus2', 11, 6)",Bus2,11,6,102.266666666667
"('Bus4', 11, 6)",Bus4,11,6,102.266666666667
"('Bus5', 11, 6)",Bus5,11,6,102.266666666667
"('Bus3', 11, 6)",Bus3,11,6,102.266666666667
"('Bus1', 11, 6)",Bus1,11,6,102.266666666667
"('Bus2', 12, 1)",Bus2,12,1,102.266666666667
"('Bus4', 12, 1)",Bus4,12,1,102.266666666667
"('Bus5', 12, 1)",Bus5,12,1,102.266666666667
"('Bus3', 12, 1)",Bus3,12,1,102.266666666667
"('Bus1', 12, 1)",Bus1,12,1,102.266666666667
"('Bus2', 12, 2)",Bus2,12,2,102.266666666667
"('Bus4', 12, 2)",Bus4,12,2,102.266666666667
"('Bus5', 12, 2)",Bus5,12,2,102.266666666667
"('Bus3', 12, 2)",Bus3,12,2,102.266666666667
"('Bus1', 12, 2)",Bus1,12,2,102.266666666667
"('Bus2', 12, 3)",Bus2,12,3,102.266666666667
"('Bus4', 12, 3)",Bus4,12,3,102.266666666667
"('Bus5', 12, 3)",Bus5,12,3,102.266666666667
"('Bus3', 12, 3)",Bus3,12,3,102.266666666667
"('Bus1', 12, 3)",Bus1,12,3,102.266666666667
"('Bus2', 12, 4)",Bus2,12,4,102.266666666667
"('Bus4', 12, 4)",Bus4,12,4,102.266666666667
"('Bus5', 12, 4)",Bus5,12,4,102.266666666667
"('Bus3', 12, 4)",Bus3,12,4,102.266666666667
"('Bus1', 12, 4)",Bus1,12,4,102.266666666667
"('Bus2', 12, 5)",Bus2,12,5,102.266666666667
"('Bus4', 12, 5)",Bus4,12,5,102.266666666667
"('Bus5', 12, 5)",Bus5,12,5,102.266666666667
"('Bus3', 12, 5)",Bus3,12,5,102.266666666667
"('Bus1', 12, 5)",Bus1,12,5,102.266666666667
"('Bus2', 12, 6)",Bus2,12,6,102.266666666667
"('Bus4', 12, 6)",Bus4,12,6,102.266666666667
"('Bus5', 12, 6)",Bus5,12,6,102.266666666667
"('Bus3', 12, 6)",Bus3,12,6,102.266666666667
"('Bus1', 12, 6)",Bus1,12,6,102.266666666667
"('Bus2', 13, 1)",Bus2,13,1,102.266666666667
"('Bus4', 13, 1)",Bus4,13,1,102.266666666667
"('Bus5', 13, 1)",Bus5,13,1,102.266666666667
"('Bus3', 13, 1)",Bus3,13,1,102.266666666667
"('Bus1', 13, 1)",Bus1,13,1,102.266666666667
"('Bus2', 13, 2)",Bus2,13,2,102.266666666667
"('Bus4', 13, 2)",Bus4,13,2,102.266666666667
"('Bus5', 13, 2)",Bus5,13,2,102.266666666667
"('Bus3', 13, 2)",Bus3,13,2,102.266666666667
"('Bus1', 13, 2)",Bus1,13,2,102.266666666667
"('Bus2', 13, 3)",Bus2,13,3,102.266666666667
"('Bus4', 13, 3)",Bus4,13,3,102.266666666667
"('Bus5', 13, 3)",Bus5,13,3,102.266666666667
"('Bus3', 13, 3)",Bus3,13,3,102.266666666667
"('Bus1', 13, 3)",Bus1,13,3,102.266666666667
"('Bus2', 13, 4)",Bus2,13,4,102.266666666667
"('Bus4', 13, 4)",Bus4,13,4,102.266666666667
"('Bus5', 13, 4)",Bus5,13,4,102.266666666667
"('Bus3', 13, 4)",Bus3,13,4,102.266666666667
"('Bus1', 13, 4)",Bus1,13,4,102.266666666667
"('Bus2', 13, 5)",Bus2,13,5,102.266666666667
"('Bus4', 13, 5)",Bus4,13,5,102.266666666667
"('Bus5', 13, 5)",Bus5,13,5,102.266666666667
"('Bus3', 13, 5)",Bus3,13,5,102.266666666667
"('Bus1', 13, 5)",Bus1,13,5,102.266666666667
"('Bus2', 13, 6)",Bus2,13,6,102.266666666667
"('Bus4', 13, 6)",Bus4,13,6,102.266666666667
"('Bus5', 13, 6)",Bus5,13,6,102.266666666667
"('Bus3', 13, 6)",Bus3,13,6,102.266666666667
"('Bus1', 13, 6)",Bus1,13,6,102.266666666667
"('Bus2', 14, 1)",Bus2,14,1,102.266666666667
"('Bus4', 14, 1)",Bus4,14,1,102.266666666667
"('Bus5', 14, 1)",Bus5,14,1,102.266666666667
"('Bus3', 14, 1)",Bus3,14,1,102.266666666667
"('Bus1', 14, 1)",Bus1,14,1,102.266666666667
"('Bus2', 14, 2)",Bus2,14,2,102.266666666667
"('Bus4', 14, 2)",Bus4,14,2,102.266666666667
"('Bus5', 14, 2)",Bus5,14,2,102.266666666667
"('Bus3', 14, 2)",Bus3,14,2,102.266666666667
"('Bus1', 14, 2)",Bus1,14,2,102.266666666667
"('Bus2', 14, 3)",Bus2,14,3,102.266666666667
"('Bus4', 14, 3)",Bus4,14,3,102.266666666667
"('Bus5', 14, 3)",Bus5,14,3,102.266666666667
"('Bus3', 14, 3)",Bus3,14,3,102.266666666667
"('Bus1', 14, 3)",Bus1,14,3,102.266666666667
"('Bus2', 14, 4)",Bus2,14,4,102.266666666667
"('Bus4', 14, 4)",Bus4,14,4,102.266666666667
"('Bus5', 14, 4)",Bus5,14,4,102.266666666667
"('Bus3', 14, 4)",Bus3,14,4,102.266666666667
"('Bus1', 14, 4)",Bus1,14,4,102.266666666667
"('Bus2', 14, 5)",Bus2,14,5,102.266666666667
"('Bus4', 14, 5)",Bus4,14,5,102.266666666667
"('Bus5', 14, 5)",Bus5,14,5,102.266666666667
"('Bus3', 14, 5)",Bus3,14,5,102.266666666667
"('Bus1', 14, 5)",Bus1,14,5,102.266666666667
"('Bus2', 14, 6)",Bus2,14,6,102.266666666667
"('Bus4', 14, 6)",Bus4,14,6,102.266666666667
"('Bus5', 14, 6)",Bus5,14,6,102.266666666667
"('Bus3', 14, 6)",Bus3,14,6,102.266666666667
"('Bus1', 14, 6)",Bus1,14,6,102.266666666667
"('Bus2', 15, 1)",Bus2,15,1,102.266666666667
"('Bus4', 15, 1)",Bus4,15,1,102.266666666667
"('Bus5', 15, 1)",Bus5,15,1,102.266666666667
"('Bus3', 15, 1)",Bus3,15,1,102.266666666667
"('Bus1', 15, 1)",Bus1,15,1,102.266666666667
"('Bus2', 15, 2)",Bus2,15,2,102.266666666667
"('Bus4', 15, 2)",Bus4,15,2,102.266666666667
"('Bus5', 15, 2)",Bus5,15,2,102.266666666667
"('Bus3', 15, 2)",Bus3,15,2,102.266666666667
"('Bus1', 15, 2)",Bus1,15,2,102.266666666667
"('Bus2', 15, 3)",Bus2,15,3,102.266666666667
"('Bus4', 15, 3)",Bus4,15,3,102.266666666667
"('Bus5', 15, 3)",Bus5,15,3,102.266666666667
"('Bus3', 15, 3)",Bus3,15,3,102.266666666667
"('Bus1', 15, 3)",Bus1,15,3,102.266666666667
"('Bus2', 15, 4)",Bus2,15,4,102.266666666667
"('Bus4', 15, 4)",Bus4,15,4,102.266666666667
"('Bus5', 15, 4)",Bus5,15,4,102.266666666667
"('Bus3', 15, 4)",Bus3,15,4,102.266666666667
"('Bus1', 15, 4)",Bus1,15,4,102.266666666667
"('Bus2', 15, 5)",Bus2,15,5,102.266666666667
"('Bus4', 15, 5)",Bus4,15,5,102.266666666667
"('Bus5', 15, 5)",Bus5,15,5,102.266666666667
"('Bus3', 15, 5)",Bus3,15,5,102.266666666667
"('Bus1', 15, 5)",Bus1,15,5,102.266666666667
"('Bus2', 15, 6)",Bus2,15,6,102.266666666667
"('Bus4', 15, 6)",Bus4,15,6,102.266666666667
"('Bus5', 15, 6)",Bus5,15,6,102.266666666667
"('Bus3', 15, 6)",Bus3,15,6,102.266666666667
"('Bus1', 15, 6)",Bus1,15,6,102.266666666667
"('Bus2', 16, 1)",Bus2,16,1,102.266666666667
"('Bus4', 16, 1)",Bus4,16,1,102.266666666667
"('Bus5', 16, 1)",Bus5,16,1,102.266666666667
"('Bus3', 16, 1)",Bus3,16,1,102.266666666667
"('Bus1', 16, 1)",Bus1,16,1,102.266666666667
"('Bus2', 16, 2)",Bus2,16,2,102.266666666667
"('Bus4', 16, 2)",Bus4,16,2,102.266666666667
"('Bus5', 16, 2)",Bus5,16,2,102.266666666667
"('Bus3', 16, 2)",Bus3,16,2,102.266666666667
"('Bus1', 16, 2)",Bus1,16,2,102.266666666667
"('Bus2', 16, 3)",Bus2,16,3,102.266666666667
"('Bus4', 16, 3)",Bus4,16,3,102.266666666667
"('Bus5', 16, 3)",Bus5,16,3,102.266666666667
"('Bus3', 16, 3)",Bus3,16,3,102.266666666667
"('Bus1', 16, 3)",Bus1,16,3,102.266666666667
"('Bus2', 16, 4)",Bus2,16,4,102.266666666667
"('Bus4', 16, 4)",Bus4,16,4,102.266666666667
"('Bus5', 16, 4)",Bus5,16,4,102.266666666667
"('Bus3', 16, 4)",Bus3,16,4,102.266666666667
"('Bus1', 16, 4)",Bus1,16,4,102.266666666667
"('Bus2', 16, 5)",Bus2,16,5,102.266666666667
"('Bus4', 16, 5)",Bus4,16,5,102.266666666667
"('Bus5', 16, 5)",Bus5,16,5,102.266666666667
"('Bus3', 16, 5)",Bus3,16,5,102.266666666667
"('Bus1', 16, 5)",Bus1,16,5,102.266666666667
"('Bus2', 16, 6)",Bus2,16,6,102.266666666667
"('Bus4', 16, 6)",Bus4,16,6,102.266666666667
"('Bus5', 16, 6)",Bus5,16,6,102.266666666667
"('Bus3', 16, 6)",Bus3,16,6,102.266666666667
"('Bus1', 16, 6)",Bus1,16,6,102.266666666667
"('Bus2', 17, 1)",Bus2,17,1,102.266666666667
"('Bus4', 17, 1)",Bus4,17,1,102.266666666667
"('Bus5', 17, 1)",Bus5,17,1,102.266666666667
"('Bus3', 17, 1)",Bus3,17,1,102.266666666667
"('Bus1', 17, 1)",Bus1,17,1,102.266666666667
"('Bus2', 17, 2)",Bus2,17,2,102.266666666667
