,Bus,Hour,Slot,LMP
"('Bus1', 7, 1)",Bus1,7,1,65.0
"('Bus2', 7, 1)",Bus2,7,1,65.0
"('Bus5', 7, 1)",Bus5,7,1,65.0
"('Bus4', 7, 1)",Bus4,7,1,65.0
"('Bus3', 7, 1)",Bus3,7,1,65.0
"('Bus1', 7, 2)",Bus1,7,2,102.266666666667
"('Bus2', 7, 2)",Bus2,7,2,102.266666666667
"('Bus5', 7, 2)",Bus5,7,2,102.266666666667
"('Bus4', 7, 2)",Bus4,7,2,102.266666666667
"('Bus3', 7, 2)",Bus3,7,2,102.266666666667
"('Bus1', 7, 3)",Bus1,7,3,102.266666666667
"('Bus2', 7, 3)",Bus2,7,3,102.266666666667
"('Bus5', 7, 3)",Bus5,7,3,102.266666666667
"('Bus4', 7, 3)",Bus4,7,3,102.266666666667
"('Bus3', 7, 3)",Bus3,7,3,102.266666666667
"('Bus1', 7, 4)",Bus1,7,4,65.0
"('Bus2', 7, 4)",Bus2,7,4,65.0
"('Bus5', 7, 4)",Bus5,7,4,65.0
"('Bus4', 7, 4)",Bus4,7,4,65.0
"('Bus3', 7, 4)",Bus3,7,4,65.0
"('Bus1', 7, 5)",Bus1,7,5,65.0
"('Bus2', 7, 5)",Bus2,7,5,65.0
"('Bus5', 7, 5)",Bus5,7,5,65.0
"('Bus4', 7, 5)",Bus4,7,5,65.0
"('Bus3', 7, 5)",Bus3,7,5,65.0
"('Bus1', 7, 6)",Bus1,7,6,102.266666666667
"('Bus2', 7, 6)",Bus2,7,6,102.266666666667
"('Bus5', 7, 6)",Bus5,7,6,102.266666666667
"('Bus4', 7, 6)",Bus4,7,6,102.266666666667
"('Bus3', 7, 6)",Bus3,7,6,102.266666666667
