,Bus,Hour,Slot,LMP
"('Bus1', 19, 1)",Bus1,19,1,102.266666666667
"('Bus2', 19, 1)",Bus2,19,1,102.266666666667
"('Bus5', 19, 1)",Bus5,19,1,102.266666666667
"('Bus4', 19, 1)",Bus4,19,1,102.266666666667
"('Bus3', 19, 1)",Bus3,19,1,102.266666666667
"('Bus1', 19, 2)",Bus1,19,2,135.2
"('Bus2', 19, 2)",Bus2,19,2,135.2
"('Bus5', 19, 2)",Bus5,19,2,135.2
"('Bus4', 19, 2)",Bus4,19,2,135.2
"('Bus3', 19, 2)",Bus3,19,2,135.2
"('Bus1', 19, 3)",Bus1,19,3,135.2
"('Bus2', 19, 3)",Bus2,19,3,135.2
"('Bus5', 19, 3)",Bus5,19,3,135.2
"('Bus4', 19, 3)",Bus4,19,3,135.2
"('Bus3', 19, 3)",Bus3,19,3,135.2
"('Bus1', 19, 4)",Bus1,19,4,135.2
"('Bus2', 19, 4)",Bus2,19,4,135.2
"('Bus5', 19, 4)",Bus5,19,4,135.2
"('Bus4', 19, 4)",Bus4,19,4,135.2
"('Bus3', 19, 4)",Bus3,19,4,135.2
"('Bus1', 19, 5)",Bus1,19,5,135.2
"('Bus2', 19, 5)",Bus2,19,5,135.2
"('Bus5', 19, 5)",Bus5,19,5,135.2
"('Bus4', 19, 5)",Bus4,19,5,135.2
"('Bus3', 19, 5)",Bus3,19,5,135.2
"('Bus1', 19, 6)",Bus1,19,6,135.2
"('Bus2', 19, 6)",Bus2,19,6,135.2
"('Bus5', 19, 6)",Bus5,19,6,135.2
"('Bus4', 19, 6)",Bus4,19,6,135.2
"('Bus3', 19, 6)",Bus3,19,6,135.2
