,Bus,Hour,Slot,LMP
"('Bus1', 24, 1)",Bus1,24,1,28.0
"('Bus2', 24, 1)",Bus2,24,1,28.0
"('Bus5', 24, 1)",Bus5,24,1,28.0
"('Bus4', 24, 1)",Bus4,24,1,28.0
"('Bus3', 24, 1)",Bus3,24,1,28.0
"('Bus1', 24, 2)",Bus1,24,2,65.0
"('Bus2', 24, 2)",Bus2,24,2,65.0
"('Bus5', 24, 2)",Bus5,24,2,65.0
"('Bus4', 24, 2)",Bus4,24,2,65.0
"('Bus3', 24, 2)",Bus3,24,2,65.0
"('Bus1', 24, 3)",Bus1,24,3,28.0
"('Bus2', 24, 3)",Bus2,24,3,28.0
"('Bus5', 24, 3)",Bus5,24,3,28.0
"('Bus4', 24, 3)",Bus4,24,3,28.0
"('Bus3', 24, 3)",Bus3,24,3,28.0
"('Bus1', 24, 4)",Bus1,24,4,28.0
"('Bus2', 24, 4)",Bus2,24,4,28.0
"('Bus5', 24, 4)",Bus5,24,4,28.0
"('Bus4', 24, 4)",Bus4,24,4,28.0
"('Bus3', 24, 4)",Bus3,24,4,28.0
"('Bus1', 24, 5)",Bus1,24,5,65.0
"('Bus2', 24, 5)",Bus2,24,5,65.0
"('Bus5', 24, 5)",Bus5,24,5,65.0
"('Bus4', 24, 5)",Bus4,24,5,65.0
"('Bus3', 24, 5)",Bus3,24,5,65.0
"('Bus1', 24, 6)",Bus1,24,6,65.0
"('Bus2', 24, 6)",Bus2,24,6,65.0
"('Bus5', 24, 6)",Bus5,24,6,65.0
"('Bus4', 24, 6)",Bus4,24,6,65.0
"('Bus3', 24, 6)",Bus3,24,6,65.0
