,Bus,Hour,Slot,LMP
"('Bus1', 23, 1)",Bus1,23,1,65.0
"('Bus2', 23, 1)",Bus2,23,1,65.0
"('Bus5', 23, 1)",Bus5,23,1,65.0
"('Bus4', 23, 1)",Bus4,23,1,65.0
"('Bus3', 23, 1)",Bus3,23,1,65.0
"('Bus1', 23, 2)",Bus1,23,2,65.0
"('Bus2', 23, 2)",Bus2,23,2,65.0
"('Bus5', 23, 2)",Bus5,23,2,65.0
"('Bus4', 23, 2)",Bus4,23,2,65.0
"('Bus3', 23, 2)",Bus3,23,2,65.0
"('Bus1', 23, 3)",Bus1,23,3,65.0
"('Bus2', 23, 3)",Bus2,23,3,65.0
"('Bus5', 23, 3)",Bus5,23,3,65.0
"('Bus4', 23, 3)",Bus4,23,3,65.0
"('Bus3', 23, 3)",Bus3,23,3,65.0
"('Bus1', 23, 4)",Bus1,23,4,28.0
"('Bus2', 23, 4)",Bus2,23,4,28.0
"('Bus5', 23, 4)",Bus5,23,4,28.0
"('Bus4', 23, 4)",Bus4,23,4,28.0
"('Bus3', 23, 4)",Bus3,23,4,28.0
"('Bus1', 23, 5)",Bus1,23,5,28.0
"('Bus2', 23, 5)",Bus2,23,5,28.0
"('Bus5', 23, 5)",Bus5,23,5,28.0
"('Bus4', 23, 5)",Bus4,23,5,28.0
"('Bus3', 23, 5)",Bus3,23,5,28.0
"('Bus1', 23, 6)",Bus1,23,6,65.0
"('Bus2', 23, 6)",Bus2,23,6,65.0
"('Bus5', 23, 6)",Bus5,23,6,65.0
"('Bus4', 23, 6)",Bus4,23,6,65.0
"('Bus3', 23, 6)",Bus3,23,6,65.0
