,Bus,Hour,Slot,LMP
"('Bus1', 1, 1)",Bus1,1,1,28.0
"('Bus2', 1, 1)",Bus2,1,1,28.0
"('Bus5', 1, 1)",Bus5,1,1,28.0
"('Bus4', 1, 1)",Bus4,1,1,28.0
"('Bus3', 1, 1)",Bus3,1,1,28.0
"('Bus1', 1, 2)",Bus1,1,2,65.0
"('Bus2', 1, 2)",Bus2,1,2,65.0
"('Bus5', 1, 2)",Bus5,1,2,65.0
"('Bus4', 1, 2)",Bus4,1,2,65.0
"('Bus3', 1, 2)",Bus3,1,2,65.0
"('Bus1', 1, 3)",Bus1,1,3,65.0
"('Bus2', 1, 3)",Bus2,1,3,65.0
"('Bus5', 1, 3)",Bus5,1,3,65.0
"('Bus4', 1, 3)",Bus4,1,3,65.0
"('Bus3', 1, 3)",Bus3,1,3,65.0
"('Bus1', 1, 4)",Bus1,1,4,65.0
"('Bus2', 1, 4)",Bus2,1,4,65.0
"('Bus5', 1, 4)",Bus5,1,4,65.0
"('Bus4', 1, 4)",Bus4,1,4,65.0
"('Bus3', 1, 4)",Bus3,1,4,65.0
"('Bus1', 1, 5)",Bus1,1,5,65.0
"('Bus2', 1, 5)",Bus2,1,5,65.0
"('Bus5', 1, 5)",Bus5,1,5,65.0
"('Bus4', 1, 5)",Bus4,1,5,65.0
"('Bus3', 1, 5)",Bus3,1,5,65.0
"('Bus1', 1, 6)",Bus1,1,6,65.0
"('Bus2', 1, 6)",Bus2,1,6,65.0
"('Bus5', 1, 6)",Bus5,1,6,65.0
"('Bus4', 1, 6)",Bus4,1,6,65.0
"('Bus3', 1, 6)",Bus3,1,6,65.0
