,Generator,Hour,Slot,Dispatch
"('solar1', 1, 1)",solar1,1,1,0.0
"('ng3', 1, 1)",ng3,1,1,381.269974456298
"('ng0', 1, 1)",ng0,1,1,200.0
"('wind0', 1, 1)",wind0,1,1,45.8122894329695
"('solar0', 1, 1)",solar0,1,1,0.0
"('solar2', 1, 1)",solar2,1,1,0.0
"('ng2', 1, 1)",ng2,1,1,0.0
"('wind2', 1, 1)",wind2,1,1,50.2057498906573
"('ng1', 1, 1)",ng1,1,1,0.0
"('ng4', 1, 1)",ng4,1,1,0.0
"('wind1', 1, 1)",wind1,1,1,7.82812056531873
"('solar1', 1, 2)",solar1,1,2,0.0
"('ng3', 1, 2)",ng3,1,2,400.0
"('ng0', 1, 2)",ng0,1,2,200.0
"('wind0', 1, 2)",wind0,1,2,40.6726782202164
"('solar0', 1, 2)",solar0,1,2,0.0
"('solar2', 1, 2)",solar2,1,2,0.0
"('ng2', 1, 2)",ng2,1,2,0.0
"('wind2', 1, 2)",wind2,1,2,47.9890356732466
"('ng1', 1, 2)",ng1,1,2,28.7854266587135
"('ng4', 1, 2)",ng4,1,2,0.0
"('wind1', 1, 2)",wind1,1,2,7.60850885181948
"('solar1', 1, 3)",solar1,1,3,0.0
"('ng3', 1, 3)",ng3,1,3,400.0
"('ng0', 1, 3)",ng0,1,3,200.0
"('wind0', 1, 3)",wind0,1,3,42.4607326008907
"('solar0', 1, 3)",solar0,1,3,0.0
"('solar2', 1, 3)",solar2,1,3,0.0
"('ng2', 1, 3)",ng2,1,3,0.0
"('wind2', 1, 3)",wind2,1,3,42.3823760403204
"('ng1', 1, 3)",ng1,1,3,37.539778073009
"('ng4', 1, 3)",ng4,1,3,0.0
"('wind1', 1, 3)",wind1,1,3,6.67879470642243
"('solar1', 1, 4)",solar1,1,4,0.0
"('ng3', 1, 4)",ng3,1,4,400.0
"('ng0', 1, 4)",ng0,1,4,200.0
"('wind0', 1, 4)",wind0,1,4,38.598380655263
"('solar0', 1, 4)",solar0,1,4,0.0
"('solar2', 1, 4)",solar2,1,4,0.0
"('ng2', 1, 4)",ng2,1,4,0.0
"('wind2', 1, 4)",wind2,1,4,44.9920943261265
"('ng1', 1, 4)",ng1,1,4,35.0079716807837
"('ng4', 1, 4)",ng4,1,4,0.0
"('wind1', 1, 4)",wind1,1,4,4.94888475469562
"('solar1', 1, 5)",solar1,1,5,0.0
"('ng3', 1, 5)",ng3,1,5,400.0
"('ng0', 1, 5)",ng0,1,5,200.0
"('wind0', 1, 5)",wind0,1,5,33.729953401275
"('solar0', 1, 5)",solar0,1,5,0.0
"('solar2', 1, 5)",solar2,1,5,0.0
"('ng2', 1, 5)",ng2,1,5,0.0
"('wind2', 1, 5)",wind2,1,5,46.9307637647038
"('ng1', 1, 5)",ng1,1,5,43.6641501668191
"('ng4', 1, 5)",ng4,1,5,0.0
"('wind1', 1, 5)",wind1,1,5,4.12151630774005
"('solar1', 1, 6)",solar1,1,6,0.0
"('ng3', 1, 6)",ng3,1,6,400.0
"('ng0', 1, 6)",ng0,1,6,200.0
"('wind0', 1, 6)",wind0,1,6,31.2446776460019
"('solar0', 1, 6)",solar0,1,6,0.0
"('solar2', 1, 6)",solar2,1,6,0.0
"('ng2', 1, 6)",ng2,1,6,0.0
"('wind2', 1, 6)",wind2,1,6,48.6343578898345
"('ng1', 1, 6)",ng1,1,6,2.26696269096375
"('ng4', 1, 6)",ng4,1,6,0.0
"('wind1', 1, 6)",wind1,1,6,4.19761298812616
"('solar1', 2, 1)",solar1,2,1,0.0
"('ng3', 2, 1)",ng3,2,1,400.0
"('ng0', 2, 1)",ng0,2,1,200.0
"('wind0', 2, 1)",wind0,2,1,32.3294589742007
"('solar0', 2, 1)",solar0,2,1,0.0
"('solar2', 2, 1)",solar2,2,1,0.0
"('ng2', 2, 1)",ng2,2,1,0.0
"('wind2', 2, 1)",wind2,2,1,49.7038242301606
"('ng1', 2, 1)",ng1,2,1,24.8095634940269
"('ng4', 2, 1)",ng4,2,1,0.0
"('wind1', 2, 1)",wind1,2,1,4.41016038815281
"('solar1', 2, 2)",solar1,2,2,0.0
"('ng3', 2, 2)",ng3,2,2,400.0
"('ng0', 2, 2)",ng0,2,2,200.0
"('wind0', 2, 2)",wind0,2,2,27.0532666741791
"('solar0', 2, 2)",solar0,2,2,0.0
"('solar2', 2, 2)",solar2,2,2,0.0
"('ng2', 2, 2)",ng2,2,2,0.0
"('wind2', 2, 2)",wind2,2,2,46.8451277471525
"('ng1', 2, 2)",ng1,2,2,37.0229953529043
"('ng4', 2, 2)",ng4,2,2,0.0
"('wind1', 2, 2)",wind1,2,2,3.92264348207927
"('solar1', 2, 3)",solar1,2,3,0.0
"('ng3', 2, 3)",ng3,2,3,400.0
"('ng0', 2, 3)",ng0,2,3,200.0
"('wind0', 2, 3)",wind0,2,3,28.9747687541866
"('solar0', 2, 3)",solar0,2,3,0.0
"('solar2', 2, 3)",solar2,2,3,0.0
"('ng2', 2, 3)",ng2,2,3,0.0
"('wind2', 2, 3)",wind2,2,3,56.611324850097
"('ng1', 2, 3)",ng1,2,3,24.6281975064867
"('ng4', 2, 3)",ng4,2,3,0.0
"('wind1', 2, 3)",wind1,2,3,2.70587445133277
"('solar1', 2, 4)",solar1,2,4,0.0
"('ng3', 2, 4)",ng3,2,4,400.0
"('ng0', 2, 4)",ng0,2,4,200.0
"('wind0', 2, 4)",wind0,2,4,26.6664878548478
"('solar0', 2, 4)",solar0,2,4,0.0
"('solar2', 2, 4)",solar2,2,4,0.0
"('ng2', 2, 4)",ng2,2,4,0.0
"('wind2', 2, 4)",wind2,2,4,44.8822344188425
"('ng1', 2, 4)",ng1,2,4,57.6122297729582
"('ng4', 2, 4)",ng4,2,4,0.0
"('wind1', 2, 4)",wind1,2,4,1.95314576184819
"('solar1', 2, 5)",solar1,2,5,0.0
"('ng3', 2, 5)",ng3,2,5,400.0
"('ng0', 2, 5)",ng0,2,5,200.0
"('wind0', 2, 5)",wind0,2,5,28.9668210978246
"('solar0', 2, 5)",solar0,2,5,0.0
"('solar2', 2, 5)",solar2,2,5,0.0
"('ng2', 2, 5)",ng2,2,5,0.0
"('wind2', 2, 5)",wind2,2,5,45.0408250567004
"('ng1', 2, 5)",ng1,2,5,31.5233196294501
"('ng4', 2, 5)",ng4,2,5,0.0
"('wind1', 2, 5)",wind1,2,5,2.87787326611846
"('solar1', 2, 6)",solar1,2,6,0.0
"('ng3', 2, 6)",ng3,2,6,400.0
"('ng0', 2, 6)",ng0,2,6,200.0
"('wind0', 2, 6)",wind0,2,6,27.9034386194013
"('solar0', 2, 6)",solar0,2,6,0.0
"('solar2', 2, 6)",solar2,2,6,0.0
"('ng2', 2, 6)",ng2,2,6,0.0
"('wind2', 2, 6)",wind2,2,6,43.3478903783062
"('ng1', 2, 6)",ng1,2,6,63.8839486128273
"('ng4', 2, 6)",ng4,2,6,0.0
"('wind1', 2, 6)",wind1,2,6,3.54570299992328
"('solar1', 3, 1)",solar1,3,1,0.0
"('ng3', 3, 1)",ng3,3,1,400.0
"('ng0', 3, 1)",ng0,3,1,200.0
"('wind0', 3, 1)",wind0,3,1,30.5113232422468
"('solar0', 3, 1)",solar0,3,1,0.0
"('solar2', 3, 1)",solar2,3,1,0.0
"('ng2', 3, 1)",ng2,3,1,0.0
"('wind2', 3, 1)",wind2,3,1,43.7716836764711
"('ng1', 3, 1)",ng1,3,1,52.9646743146692
"('ng4', 3, 1)",ng4,3,1,0.0
"('wind1', 3, 1)",wind1,3,1,3.56410416409787
"('solar1', 3, 2)",solar1,3,2,0.0
"('ng3', 3, 2)",ng3,3,2,400.0
"('ng0', 3, 2)",ng0,3,2,200.0
"('wind0', 3, 2)",wind0,3,2,28.6794368348596
"('solar0', 3, 2)",solar0,3,2,0.0
"('solar2', 3, 2)",solar2,3,2,0.0
"('ng2', 3, 2)",ng2,3,2,0.0
"('wind2', 3, 2)",wind2,3,2,41.8479347537947
"('ng1', 3, 2)",ng1,3,2,16.0577497741782
"('ng4', 3, 2)",ng4,3,2,0.0
"('wind1', 3, 2)",wind1,3,2,3.80649765593261
"('solar1', 3, 3)",solar1,3,3,0.0
"('ng3', 3, 3)",ng3,3,3,400.0
"('ng0', 3, 3)",ng0,3,3,200.0
"('wind0', 3, 3)",wind0,3,3,36.4405492681258
"('solar0', 3, 3)",solar0,3,3,0.0
"('solar2', 3, 3)",solar2,3,3,0.0
