,Hour,Slot,solar0,solar1,solar2,wind0,wind1,wind2
258,1,1,0.0,0.0,0.0,80.4953823053702,0.760114111508474,19.961405710953997
259,1,2,0.0,0.0,0.0,84.87962037499493,0.8597679795246687,16.593937655529604
260,1,3,0.0,0.0,0.0,59.760748384564415,0.27649437300129487,11.598373832218847
261,1,4,0.0,0.0,0.0,59.48085503667204,0.27231996287743054,7.423727844817659
262,1,5,0.0,0.0,0.0,76.70917531661148,0.989404301500931,4.623139076489749
263,1,6,0.0,0.0,0.0,138.80038527423787,2.602833998784482,2.194015640061577
264,2,1,0.0,0.0,0.0,75.4201082585863,3.916449988018666,1.732216554225501
265,2,2,0.0,0.0,0.0,78.83234302219492,5.737354941829669,0.23956609535624665
266,2,3,0.0,0.0,0.0,86.42249226550375,9.222736430148041,0.6495316941858457
267,2,4,0.0,0.0,0.0,107.63236239477722,9.444721093901162,0.6594063727799355
268,2,5,0.0,0.0,0.0,185.70896825832043,10.829293407048855,0.0193218852571044
269,2,6,0.0,0.0,0.0,129.4580011811515,16.155143860054967,0.18705182077635826
270,3,1,0.0,0.0,0.0,96.22286178695839,17.501049960278422,2.125975604381574
271,3,2,0.0,0.0,0.0,107.92055988061502,10.617117861178844,5.094067403344577
272,3,3,0.0,0.0,0.0,99.71321525527748,9.623015703522283,1.6211216333443104
273,3,4,0.0,0.0,0.0,56.02171213020658,9.259918744270326,0.08832675870690548
274,3,5,0.0,0.0,0.0,48.44015040947934,6.914626463744576,0.007471347166962041
275,3,6,0.0,0.0,0.0,79.00749702731572,2.3805072195898296,0.0
