,Hour,Slot,Bus1,Bus2,Bus3,Bus4,Bus5,LOAD
258,1,1,188.85115263333506,154.69574435295524,138.54808458380518,294.5871746070463,186.8313834118669,963.5135395890087
259,1,2,197.22227833873762,129.8175564451996,109.51060321816819,334.79429792637336,232.54143924308087,1003.8861751715596
260,1,3,174.90486710556448,128.4490140904092,110.45728826272845,381.62604567121275,235.50484912206406,1030.942064251979
261,1,4,145.428334009844,160.12900069815544,133.92991906397577,221.8898440056463,287.46247476205144,948.8395725396729
262,1,5,182.32664952688907,183.99376002376084,138.59056148630307,307.4613084118502,235.47897509761495,1047.8512545464182
263,1,6,254.69070472666198,176.7028553630879,134.80015097989047,232.07218807872619,283.0116013163811,1081.2775004647476
264,2,1,219.75357397582508,170.87428004067803,160.12871634109837,300.13180627244935,275.5907608849529,1126.4791375150037
265,2,2,185.18396767773442,149.20720125513958,142.52910022370307,218.13150001903696,229.78936268744405,924.8411318630581
266,2,3,142.85624733211566,162.4065762689596,128.90661625506954,201.02355836861238,297.3325525590129,932.5255507837702
267,2,4,145.8996606872563,164.22774944731688,164.67978242854474,208.87738036831868,192.48722000788564,876.1717929393222
268,2,5,162.68618759655286,124.73765243550935,150.1979316458578,366.17193240319114,189.00747219684408,992.8011762779553
269,2,6,139.0247349883991,151.968440474322,144.06192728454673,303.65098080480914,226.95311237997237,965.6591959320493
270,3,1,151.10084187877172,127.39721575844615,113.76900913745165,283.4355361629598,235.63276227668499,911.3353652143143
271,3,2,120.96058209793384,119.63451778419137,113.54035605238818,200.0151481935399,168.28838998235025,722.4389941104035
272,3,3,172.17639383032284,112.64923428451512,95.36053045386875,189.61921646114453,217.61004774810738,787.4154227779586
273,3,4,138.693674399817,159.47193578154963,98.98654621845628,253.5781889139569,213.64681096023264,864.3771562740125
274,3,5,148.71039027989036,143.57968385852274,98.93179061984297,276.21235837081593,217.91451240820385,885.3487355372758
275,3,6,161.72376461756204,122.1125177456368,120.50748484265607,196.457333411733,219.6561953894031,820.4572960069911
