,Hour,Slot,Bus1,Bus2,Bus3,Bus4,Bus5,LOAD
192,1,1,191.0172345879216,128.5789315360229,123.45074343766576,255.07464009291576,204.32603631610593,902.447585970632
193,1,2,174.22144455598388,121.6781493197386,118.86551088920673,265.5869827650688,229.14449133542004,909.4965788654181
194,1,3,155.35392715061346,148.75471633693607,141.7979184928854,190.34069836133847,241.43974880825272,877.6870091500261
195,1,4,144.49865224892952,143.82104251328832,130.44894681168861,268.7014474224553,228.68145642035267,916.1515454167145
196,1,5,150.9639314828394,125.43034658663238,122.35780999594219,293.0578641235473,229.50362012907658,921.3135723180378
197,1,6,167.4291249446324,100.35796839835108,112.57692536661752,173.73143697206197,234.13313871900297,788.228594400666
198,2,1,224.09906311961225,120.74785362323708,123.6947409939529,173.7837337625477,137.4408067602794,779.7661982596294
199,2,2,185.5244261963792,140.29321899743272,121.19937913128547,255.97401283565242,245.27102238811608,948.2620595488659
200,2,3,154.11573481682322,192.49718276242336,107.31100234448405,270.60144622027667,227.9243311493154,952.4496972933227
201,2,4,164.15709406571992,118.67320352277807,118.48473430047974,228.6440038539762,212.19218250974052,842.1512182526944
202,2,5,156.83958834281242,129.3692274729166,116.36499328986503,270.6344094716298,246.7674339441776,919.9756525214015
203,2,6,167.6810011202462,106.63133752209339,146.78839489160046,278.3699565673466,272.82863794613,972.2993280474167
204,3,1,141.00147836302048,108.491714430903,93.59479326980075,273.0940327037901,193.87079515743144,810.0528139249458
205,3,2,173.27958702159424,136.3674461059962,139.00387108718394,249.19698925438672,288.0933917378361,985.9412852069972
206,3,3,136.93060892157268,188.49290698306294,89.2378247562108,192.20834681809038,245.93028024629012,852.7999677252269
207,3,4,157.11174400785177,156.772573030108,130.19730597128097,213.79069744301162,243.13914872796136,901.0114691802137
208,3,5,168.5434241640018,172.64913960271397,115.41939664299247,270.80445205981357,266.471950735059,993.8883632045809
209,3,6,184.22796611507775,145.49058967328187,93.16263890562247,210.14632546879335,202.307546662975,835.3350668257505
