Day,Hour,Bus1,Bus2,Bus3,Bus4,Bus5,LOAD
1,1,133.796234,113.7196825,98.63296617,188.9272146,177.9261351,713.0022324
1,2,133.3278691,113.3215973,98.28769325,188.2658591,177.3032898,710.5063086
1,3,133.3278691,113.3215973,98.28769325,188.2658591,177.3032898,710.5063086
1,4,133.796234,113.7196825,98.63296617,188.9272146,177.9261351,713.0022324
1,5,136.7625449,116.240889,100.8196947,193.1157992,181.8708218,728.8097496
1,6,147.6910587,125.5295445,108.876063,208.547427,196.4038784,787.0479716
1,7,154.0920454,130.9700427,113.594793,217.5859519,204.9160972,821.1589302
1,8,157.3705996,133.7566394,116.0117035,222.2154402,209.2760142,838.6303969
1,9,161.8981268,137.6047967,119.3493418,228.6085432,215.2968519,862.7576604
1,10,166.2695323,141.3202589,122.5718891,234.7811943,221.1100745,886.0529491
1,11,168.6113567,143.3106851,124.2982538,238.0879717,224.2243009,898.5325682
1,12,168.2991134,143.0452949,124.0680718,237.647068,223.8090707,896.8686188
1,13,168.2991134,143.0452949,124.0680718,237.647068,223.8090707,896.8686188
1,14,167.5185053,142.3818195,123.4926169,236.5448089,222.7709952,892.7087458
1,15,164.3960728,139.7279179,121.1907974,232.1357724,218.6186934,876.0692539
1,16,161.7420051,137.4721016,119.2342508,228.3880913,215.0892368,861.9256856
1,17,182.0378166,154.7224618,134.1960777,257.0468287,242.0791989,970.0823837
1,18,201.5530199,171.3093467,148.5824496,284.6033069,268.0310856,1074.079209
1,19,198.2744657,168.52275,146.1655391,279.9738185,263.6711686,1056.607742
1,20,189.0632898,160.6937404,139.3751716,266.9671608,251.4218781,1007.521241
1,21,174.0756136,147.9550128,128.3264379,245.8037856,231.4908292,927.6516791
1,22,155.1848968,131.8989083,114.4004298,219.1291147,206.3694029,826.9827525
1,23,141.7584369,120.4871315,104.5026059,200.1702577,188.5145048,755.4329368
1,24,136.29418,115.8428038,100.4744218,192.4544438,181.2479766,726.313826
2,1,133.796234,113.7196825,98.63296617,188.9272146,177.9261351,713.0022324
2,2,133.3278691,113.3215973,98.28769325,188.2658591,177.3032898,710.5063086
2,3,133.3278691,113.3215973,98.28769325,188.2658591,177.3032898,710.5063086
2,4,133.796234,113.7196825,98.63296617,188.9272146,177.9261351,713.0022324
2,5,136.7625449,116.240889,100.8196947,193.1157992,181.8708218,728.8097496
2,6,147.6910587,125.5295445,108.876063,208.547427,196.4038784,787.0479716
2,7,154.0920454,130.9700427,113.594793,217.5859519,204.9160972,821.1589302
2,8,157.3705996,133.7566394,116.0117035,222.2154402,209.2760142,838.6303969
2,9,161.8981268,137.6047967,119.3493418,228.6085432,215.2968519,862.7576604
2,10,166.2695323,141.3202589,122.5718891,234.7811943,221.1100745,886.0529491
2,11,168.6113567,143.3106851,124.2982538,238.0879717,224.2243009,898.5325682
2,12,168.2991134,143.0452949,124.0680718,237.647068,223.8090707,896.8686188
2,13,168.2991134,143.0452949,124.0680718,237.647068,223.8090707,896.8686188
2,14,167.5185053,142.3818195,123.4926169,236.5448089,222.7709952,892.7087458
2,15,164.3960728,139.7279179,121.1907974,232.1357724,218.6186934,876.0692539
2,16,161.7420051,137.4721016,119.2342508,228.3880913,215.0892368,861.9256856
2,17,182.0378166,154.7224618,134.1960777,257.0468287,242.0791989,970.0823837
2,18,201.5530199,171.3093467,148.5824496,284.6033069,268.0310856,1074.079209
2,19,198.2744657,168.52275,146.1655391,279.9738185,263.6711686,1056.607742
2,20,189.0632898,160.6937404,139.3751716,266.9671608,251.4218781,1007.521241
2,21,174.0756136,147.9550128,128.3264379,245.8037856,231.4908292,927.6516791
2,22,155.1848968,131.8989083,114.4004298,219.1291147,206.3694029,826.9827525
2,23,141.7584369,120.4871315,104.5026059,200.1702577,188.5145048,755.4329368
2,24,136.29418,115.8428038,100.4744218,192.4544438,181.2479766,726.313826
