,Hour,Slot,Bus1,Bus2,Bus3,Bus4,Bus5,LOAD
162,1,1,168.39632212880218,114.0036004831685,114.7623726509053,182.42915821126172,155.066626610791,734.6580800849288
163,1,2,110.91400184225412,121.424659978521,89.95695758230522,179.15521953303832,172.7058382816081,674.1566772177267
164,1,3,157.8149057596865,125.45967265979726,101.91761393193866,179.18314230798532,186.65280934485995,751.0281440042677
165,1,4,149.16744509728582,123.63760923251598,112.81706384012668,197.37478073167878,159.8315996390752,742.8284985406825
166,1,5,142.9914375115106,93.07254630119259,107.42838181622335,199.2798043265373,130.4407440786038,673.2129140340676
167,1,6,133.69278685249623,126.77109266225054,85.54338051855878,189.71743245682256,163.43152631819083,699.156218808319
168,2,1,135.95555225941285,130.39120544452078,99.42356458730401,174.83426512480932,182.4347687503305,723.0393561663775
169,2,2,120.75166298172923,135.84762316671183,61.10054952857231,187.24129239105787,137.8244859925866,642.7656140606578
170,2,3,163.49228318752714,90.69645084121923,88.40650530626358,220.37780983491044,146.2813286064385,709.2543777763589
171,2,4,141.30448262704587,121.84503413541043,124.06243870154519,165.70947862408153,186.48857378748227,739.4100078755653
172,2,5,150.04946965878864,111.21986830033757,133.76820908836498,183.65634593841887,178.4956371814929,757.1895301674031
173,2,6,166.88666117308722,109.0557368060228,123.96214216993552,173.99708548161456,215.07686019949332,788.9784858301534
174,3,1,172.0139073112107,97.409452275904,104.14608679906326,211.89732789788795,188.8719704932626,774.3387447773284
175,3,2,125.19227422563036,102.90289786524836,89.53730277693208,178.40526749052478,171.5613340787725,667.599076437108
176,3,3,161.8379354675998,126.77618037924526,137.77918461947843,204.33026009170527,191.69457922631597,822.4181397843447
177,3,4,130.93455394635146,114.43392657720541,130.4852330162587,197.48175791005374,150.4826150963804,723.8180865462497
178,3,5,148.59436833930133,170.57341864162495,135.73154422074302,220.13948795577804,166.62104781050033,841.6598669679477
179,3,6,159.4202891108686,147.37346854145324,104.22735836545424,198.9819558122505,161.68090259177362,771.6839744218001
