,Hour,Slot,Bus1,Bus2,Bus3,Bus4,Bus5,LOAD
264,1,1,187.85915639853022,140.1135347549364,115.81425442292476,262.2778822923432,255.45545275497963,961.5202806237141
265,1,2,181.0474202112327,147.6001402953204,126.256859198924,221.83052167983422,245.37889131247482,922.1138326977862
266,1,3,172.2560897667717,153.93807810907643,128.1518528408642,253.13303342925605,229.28382281289132,936.7628769588597
267,1,4,167.92628739178582,150.47754957535219,132.05079580037741,251.07332185380238,226.20829264226165,927.7362472635795
268,1,5,167.83707040957844,139.9961692555809,123.4758201067486,243.74353529578448,209.05953940363494,884.1121344713274
269,1,6,175.18307679054206,150.04146649246115,134.54760732249517,240.2939728841205,225.93177141071698,925.997894900336
