,Hour,Slot,Bus1,Bus2,Bus3,Bus4,Bus5,LOAD
258,1,1,191.15429287018821,162.03760173319435,145.5970340396883,256.57205078619467,248.18580662020702,1003.5467860494726
259,1,2,186.68026143495447,160.91543247962878,132.5982504825575,262.784313872137,262.18419348522576,1005.1624517545035
260,1,3,175.2082954739298,157.9882191699201,133.8109147845556,268.52869687549895,256.88584819687475,992.4219745007792
261,1,4,189.23178879612732,166.77116301555122,135.83208823358447,283.62342865557906,245.22594351821917,1020.6844122190613
262,1,5,187.31905299369365,150.14858938994772,150.29979337060985,273.3606061637605,261.3029636460025,1022.4310055640142
263,1,6,183.3451590073076,153.2632677827353,135.421504322413,288.82764345834516,242.94121256033733,1003.7987871311384
