,Hour,Slot,Bus1,Bus2,Bus3,Bus4,Bus5,LOAD
240,1,1,185.8396476297037,147.73285658243813,142.4663988895586,262.138099951236,228.44083157637854,966.617834629315
241,1,2,190.45792317199934,149.85740997003342,129.85370894192707,243.13072895407632,250.9537366489272,964.2535076869633
242,1,3,190.7438179530013,150.1154647009044,136.47600352445997,253.02005894946882,244.93856868309697,975.2939138109314
243,1,4,175.96236525264686,155.36374840310717,137.9406330144455,244.81161245213738,225.0601381735708,939.1384972959077
244,1,5,186.78493685202753,155.5891746763249,136.96775742838227,244.5435878213863,218.51254688885655,942.3980036669775
245,1,6,179.57499453782935,150.31151701616005,137.90539660587035,255.94709292671632,248.94615241965886,972.6851535062349
