,Hour,Slot,Bus1,Bus2,Bus3,Bus4,Bus5,LOAD
210,1,1,165.83437856820944,147.24812187697967,122.43157406938204,238.50935926322208,233.75624884833806,907.7796826261313
211,1,2,160.6886476679953,140.10470494957573,120.45453052389392,225.3879383617368,223.60068912864216,870.2365106318439
212,1,3,175.9280343195656,146.87627213714018,121.18011603302512,228.76272923424287,228.03606219878873,900.7832139227625
213,1,4,168.75460340269908,140.14057316475277,109.29314010346765,228.581278686578,229.25692477563754,876.026520133135
214,1,5,172.35283859965799,143.12872988672024,127.93409819102511,243.4001937902424,223.3814018806671,910.1972623483128
215,1,6,166.3611082578721,146.96200723012444,130.68506384834274,243.15577507712695,202.59549641923687,889.7594508327031
