,Hour,Slot,Bus1,Bus2,Bus3,Bus4,Bus5,LOAD
204,1,1,157.23723962038386,175.69860401919553,176.25606508146686,247.87698730030368,166.71196090161976,923.7808569229696
205,1,2,166.59393439406867,148.14401446209612,161.20334765679092,285.84174080384463,209.53142425129158,971.3144615680919
206,1,3,194.5880145775792,157.75683104174342,111.22835766545457,280.0705350545275,264.4041549625665,1008.0478933018712
207,1,4,175.47012563501872,159.64773288294776,89.62904725975478,211.9244584209662,235.39438051970612,872.0657447183936
208,1,5,89.48275723477585,128.39411627134652,123.15601439008228,276.70508758350314,220.58428908207537,838.3222645617832
209,1,6,207.69208299835898,150.0086470398267,85.41578341286703,251.18619709415998,228.06319843843013,922.3659089836428
210,2,1,189.96755847459556,130.7138686682575,153.66190182219324,189.1677954861846,178.08627409177473,841.5973985430056
211,2,2,184.0657189104839,153.51524720666148,126.58181662190427,251.92530394962378,200.69241665971907,916.7805033483926
212,2,3,137.22009579586404,141.53417283360915,140.3939368336438,230.35466783724195,259.0294078222013,908.5322811225602
213,2,4,153.76225321589493,138.62633284030804,107.04552200813731,207.95800982476683,222.5852841310537,829.9774020201608
214,2,5,157.5381572670229,162.1066675386456,131.36109186195563,262.75573128192923,194.8013796251827,908.5630275747361
215,2,6,198.15145012088718,170.09916117593954,128.64456180160096,231.04405767977488,202.47865289963798,930.4178836778405
216,3,1,171.6671566105645,174.0174960163568,147.4514954012144,258.565432904649,250.64380602465434,1002.3453869574391
217,3,2,175.4088919704326,129.93043428406403,148.47857741717968,298.566904729564,287.5794451220432,1039.9642535232836
218,3,3,190.55661072399846,141.2871975625058,111.48182034807326,234.5828709220885,277.65360463202336,955.5621041886893
219,3,4,172.11066184194272,171.050835122851,102.29868714691787,265.7294234238885,231.7580212018301,942.9476287374303
220,3,5,153.40486250685203,164.7487427814019,121.95792034717671,194.03657345504038,207.3367738771447,841.4848729676157
221,3,6,201.1599990983165,137.13826343047086,128.64403411394315,249.49512566803577,231.5554474865035,947.9928697972698
